,index,name,p_raw,p_corr,es,gene,index_name
21810,Glutamatergic,11768,1.9444599910710198e-21,2.348907669213792e-18,0.6050559441988046,Hnrnph1,Glutamatergic_Hnrnph1
21871,Glutamatergic,11872,5.820493368574717e-277,7.031155989238258e-274,2.2355039519321798,Rnf112,Glutamatergic_Rnf112
22314,Glutamatergic,13639,2.4749655261770903e-17,2.989758355621925e-14,0.4413179121553714,Rps6kb1,Glutamatergic_Rps6kb1
22849,Glutamatergic,16059,6.218833690555024e-68,7.512351098190469e-65,1.0890054746305702,0610010F05Rik,Glutamatergic_0610010F05Rik
22960,Glutamatergic,16801,0.0,2.2250738585072014e-308,3.0451897822476752,Car10,Glutamatergic_Car10
23278,Glutamatergic,18882,4.817714214012428e-66,5.819798770527013e-63,0.8402289744639866,Sel1l,Glutamatergic_Sel1l
23731,Glutamatergic,20931,1.9246086783776295e-18,2.3249272834801764e-15,0.4181827481955871,Cep170b,Glutamatergic_Cep170b
24299,Glutamatergic,23747,4.5050999215494845e-124,5.442160705231778e-121,1.246602268081264,Dbn1,Glutamatergic_Dbn1
24385,Glutamatergic,24077,1.783587770469834e-77,2.154574026727559e-74,1.1801189676960444,Tbce,Glutamatergic_Tbce
24471,Glutamatergic,24526,1.8720025457247206e-07,0.00022613790752354625,0.2191047777776629,Sirt5,Glutamatergic_Sirt5
24780,Glutamatergic,26829,4.140867700161007e-76,5.002168181794496e-73,1.0530087673598385,Dph3,Glutamatergic_Dph3
24831,Glutamatergic,26932,4.299697194531223e-20,5.1940342109937174e-17,0.48605293537713923,Mapk8,Glutamatergic_Mapk8
24834,Glutamatergic,26935,6.969385488379368e-28,8.419017669962278e-25,0.5839095831274208,Pspc1,Glutamatergic_Pspc1
25259,Glutamatergic,28892,0.0,2.2250738585072014e-308,4.959939605452405,Ptk2b,Glutamatergic_Ptk2b
25311,Glutamatergic,29885,4.325262886946578e-07,0.0005224917567431466,0.18908526548212512,Gm26782,Glutamatergic_Gm26782
25495,Glutamatergic,31083,2.7497219395468303e-18,3.321664102972571e-15,0.5492159417214078,Csmd3,Glutamatergic_Csmd3
25528,Glutamatergic,31263,2.1268110854468667e-70,2.569187791219815e-67,0.9652829184965479,Asap1,Glutamatergic_Asap1
25907,Glutamatergic,32708,0.0,2.2250738585072014e-308,3.3374726599075974,Klf10,Glutamatergic_Klf10
26450,Glutamatergic,35610,4.595632098659509e-180,5.551523575180687e-177,1.7913382621066463,Stxbp5l,Glutamatergic_Stxbp5l
