,index,name,p_raw,p_corr,es,cluster,chromosome
23873,F,Gnb2-215_ENSMUST00000170293,4.137221005631502e-06,0.00636304590666125,3.017375516175411,VLMC,5
24181,F,Actb-207_ENSMUST00000167721,6.044842826114321e-06,0.009296968266563826,6.107986174604787,VLMC,5
51406,F,Vps25-202_ENSMUST00000042477,1.0323019333559272e-06,0.0015876803735014162,5.655451053152037,VLMC,11
65963,F,Cox7a2l-201_ENSMUST00000025095,4.577878836362859e-07,0.0007040777650326077,5.858546070582456,VLMC,17
29,F,Atp6v1h-201_ENSMUST00000044369,1.7767053122787658e-06,0.004027790942935962,0.4716643169084702,Vip,1
399,F,Prim2-202_ENSMUST00000187353,1.1682855820315422e-33,2.648503414465506e-30,0.614314706278335,Vip,1
1448,F,Tmbim1-202_ENSMUST00000113796,2.651234190095023e-11,6.010347908945417e-08,0.2663182328683532,Vip,1
1743,F,Dock10-206_ENSMUST00000187885,5.527577148291475e-20,1.2531017395176772e-16,0.3357110537121777,Vip,1
3533,F,B4galt3-204_ENSMUST00000125939,4.9786388792792924e-11,1.1286574339326156e-07,0.5504496271853896,Vip,1
3676,F,Dusp23-201_ENSMUST00000027826,5.313778926111023e-27,1.2046336825493689e-23,0.7650915693443576,Vip,1
6715,F,Rbm45-201_ENSMUST00000046389,1.5853960712960678e-10,3.594092893628186e-07,0.45410413916620185,Vip,2
6906,F,Olfr1120-202_ENSMUST00000215163,1.0791417364197952e-06,0.0024464143164636756,0.25819976436505787,Vip,2
7070,F,Lrp4-201_ENSMUST00000028689,2.2420419706170597e-07,0.0005082709147388874,0.13686077402313163,Vip,2
7475,F,Scg5-201_ENSMUST00000024005,1.2177546453859073e-06,0.0027606497810898517,0.19407380650302386,Vip,2
7979,F,Gm17555-201_ENSMUST00000164042,3.6927704834854915e-06,0.008371510686061609,0.4347582152869931,Vip,2
9587,F,Pfdn4-204_ENSMUST00000109148,3.8921902248477765e-06,0.00882359523972991,0.6180713252668903,Vip,2
10253,F,Atp6ap2-201_ENSMUST00000033313,9.551766510968703e-08,0.0002165385468036605,0.4524393847105843,Vip,X
10267,F,Ddx3x-201_ENSMUST00000000804,1.3924478596918329e-06,0.003156679297921385,0.6865086180357891,Vip,X
10604,F,Hprt-201_ENSMUST00000026723,8.28995489371673e-09,1.8793327744055827e-05,0.22998987608525034,Vip,X
11309,F,Tsix-201_ENSMUST00000152916,6.568339754421488e-103,1.4890426223273512e-99,4.464185592115521,Vip,X
11996,F,Ap1s2-201_ENSMUST00000033734,1.1508559962274096e-07,0.0002608990543447537,0.35862818754461134,Vip,X
13758,F,Tpm3-215_ENSMUST00000149734,8.54841073405959e-11,1.937924713411309e-07,0.5577713668184539,Vip,3
14819,F,Snx7-204_ENSMUST00000196421,1.0036193886284918e-09,2.275205154020791e-06,0.20917609095394418,Vip,3
15253,F,Eif4e-204_ENSMUST00000200020,1.3224231234922077e-23,2.997933220956835e-20,0.583066739321876,Vip,3
15676,F,AI838599-201_ENSMUST00000133960,1.7632758033086356e-06,0.003997346246100677,0.3604813975732579,Vip,4
16628,F,Acnat1-202_ENSMUST00000107697,2.072038615700452e-27,4.697311541792925e-24,0.7475927706347234,Vip,4
18244,F,Csmd2-201_ENSMUST00000129619,3.4354826590002415e-10,7.788239187953547e-07,0.29669383789513437,Vip,4
19568,F,Tnfrsf14-205_ENSMUST00000219534,1.900801020668796e-24,4.309115913856161e-21,0.45390626201617446,Vip,4
19686,F,Mrpl20-206_ENSMUST00000185148,9.581446954305565e-10,2.1721140245410715e-06,0.7550922658011903,Vip,4
19912,F,Gm26825-201_ENSMUST00000181751,2.9289513919111735e-06,0.00663993280546263,0.3722682333506895,Vip,5
