,index,gene_name,p_raw,p_bonferroni,mean_log1p,mean_norm
60,L4/5_IT,Rorb,0.0,0.0,4.8129583714574204,12800.379482389106
61,L4/5_IT,Rab3b,0.0,0.0,7.582379701437063,2689.8519317664422
62,L4/5_IT,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
63,L4/5_IT,Ptprk,0.0,0.0,5.910188869560698,11589.004628684517
64,L4/5_IT,Prdm8,0.0,0.0,4.000752989991377,5700.977958402151
65,L4/5_IT,Pou3f3,0.0,0.0,8.140773456901536,22706.056324804278
66,L4/5_IT,Penk,0.0,0.0,6.170282774826138,1135.986996490147
67,L4/5_IT,Nr4a1,0.0,0.0,5.5259176207376,10076.506618546135
68,L4/5_IT,Lamp5,0.0,0.0,5.098040867988953,2440.896210148816
69,L4/5_IT,Gad2,0.0,0.0,8.11323845882878,4278.066672777633
70,L4/5_IT,Wipf3,0.0,0.0,7.091402494733177,28773.638538092193
71,L4/5_IT,Vip,2.1669266219328403e-55,2.751996809854707e-53,7.769146904840319,2975.5534469317986
72,L56_NP,Bcl11b,0.0,0.0,4.332060794372322,10156.923229744621
73,L56_NP,Tshz2,0.0,0.0,3.4538472819324606,5805.024876506803
74,L56_NP,Trp53i11,0.0,0.0,4.336927316315007,9184.42777639549
75,L56_NP,Tox,0.0,0.0,3.5527134531840363,4267.525010833027
76,L56_NP,Sulf2,0.0,0.0,6.626607869072078,26066.169358077266
77,L56_NP,Spon1,0.0,0.0,3.6771356750776194,7795.842431595372
78,L56_NP,Slc17a7,0.0,0.0,9.454276672469922,21605.366464883777
79,L56_NP,Satb2,0.0,0.0,6.536729156108682,23088.1897280012
80,L56_NP,Rnf152,0.0,0.0,3.0201321710647444,4481.021480142607
81,L56_NP,Rgs6,0.0,0.0,6.249597821665058,12216.760958061705
82,L56_NP,Ptpru,0.0,0.0,3.666147918341713,5579.356901018134
83,L56_NP,Ptprt,0.0,0.0,6.993373561602484,20665.325454992864
84,L56_NP,Olfm3,0.0,0.0,2.773160893014041,1966.7731229093256
85,L56_NP,Grm8,0.0,0.0,4.5018438978453705,6481.566212336048
86,L56_NP,Fezf2,0.0,0.0,3.095570054559137,4383.213142950214
87,L56_NP,Camk2d,0.0,0.0,5.749795158462924,11880.690225730581
88,L56_NP,Wipf3,4.0076604842282926e-238,5.089728814969932e-236,7.091402494733177,28773.638538092193
89,L56_NP,Rab3b,8.327073470263717e-184,1.057538330723492e-181,7.582379701437063,2689.8519317664422
90,L56_NP,Vip,1.5463009937165942e-115,1.9638022620200747e-113,7.769146904840319,2975.5534469317986
91,L56_NP,Pvalb,1.874113148012891e-102,2.3801236979763717e-100,6.756693069771963,1748.4185394562287
