,index,name,p_raw,p_corr,es,gene
29644,Glutamatergic,50744,1.5485756452031695e-18,1.8706793794054288e-15,0.4698803621766867,Ythdf1
29807,Glutamatergic,51444,2.0802915172464743e-83,2.512992152833741e-80,0.8778541570011926,Ubr3
29828,Glutamatergic,51539,2.303891735828374e-07,0.0002783101216880676,0.20176879505160006,Esf1
29989,Glutamatergic,52300,1.858211701221034e-28,2.2447197350750093e-25,0.485963614957063,Casc4
30079,Glutamatergic,52579,4.2395902612394385e-165,5.121425035577241e-162,1.2263712699723128,D430041D05Rik
30306,Glutamatergic,54938,2.958052026755278e-10,3.573326848320376e-07,0.36863902195940224,Mrpl24
30437,Glutamatergic,55351,8.660402595865979e-35,1.0461766335806102e-31,0.37038502336636503,Slc7a11
30585,Glutamatergic,55859,3.782039084443399e-15,4.568703214007626e-12,0.4322652772882458,4933434E20Rik
30614,Glutamatergic,55973,1.8450613719376813e-11,2.228834137300719e-08,-0.3202108427338972,Rnpc3
30981,Glutamatergic,57319,1.3001977161964206e-06,0.0015706388411652762,0.22693006319006104,Rbm8a
31130,Glutamatergic,58053,8.766554345214023e-94,1.058999764901854e-90,1.000817949838325,Zfp697
31330,Glutamatergic,59746,6.672179463900737e-48,8.059992792392091e-45,0.8585546657287519,Nfib
31417,Glutamatergic,60077,0.0,2.2250738585072014e-308,2.7258330299884,Epha7
31499,Glutamatergic,60381,2.2294104267622116e-17,2.6931277955287517e-14,0.3391096682960004,Nfx1
31644,Glutamatergic,60954,5.322016540694458e-44,6.428995981158905e-41,0.853500825151607,Ift74
31708,Glutamatergic,61274,1.6340976634761937e-41,1.973989977479242e-38,0.586072710751333,Srsf10
31739,Glutamatergic,61531,5.852071649735322e-12,7.069302552880269e-09,0.3097901032182504,Hp1bp3
32003,Glutamatergic,62724,6.9080069143508e-185,8.344872352535767e-182,1.945156206659898,Sigmar1
32168,Glutamatergic,63378,1.4400179141012745e-09,1.7395416402343396e-06,0.29223999437820325,Chchd7
32386,Glutamatergic,64379,1.0474157006965005e-06,0.0012652781664413725,0.26464192349145677,Cdc26
32435,Glutamatergic,64818,0.0,2.2250738585072014e-308,3.0205127455605556,Gm20878
32458,Glutamatergic,65469,8.743316644213833e-87,1.0561926506210311e-83,1.1306125711660662,Krit1
32780,Glutamatergic,66784,1.2071209331510282e-24,1.458202087246442e-21,0.6320997653028391,Nrbp1
33398,Glutamatergic,69511,1.0178165452658942e-26,1.2295223866812002e-23,0.47773567028374764,Srrm3
33772,Glutamatergic,70806,1.0759940325546572e-38,1.299800791326026e-35,0.6731289981319284,Gtf2i
34187,Glutamatergic,73530,6.568181508443032e-16,7.934363262199182e-13,0.44418050112797625,Tra2a
34198,Glutamatergic,73550,6.888046035198404e-07,0.0008320759610519671,0.20173628334390914,Luc7l2
34492,Glutamatergic,74824,5.720235522216718e-08,6.910044510837796e-05,0.22717165598117983,Ing4
34701,Glutamatergic,75719,7.801947197935735e-141,9.424752215106368e-138,1.615568956764215,Zfp239
35077,Glutamatergic,78208,1.0027022900072423e-06,0.0012112643663287487,0.21018087001209818,Gm38393
35377,Glutamatergic,79685,7.126983365916009e-92,8.609395906026539e-89,1.164223832572373,Chid1
35652,Glutamatergic,81100,4.108727709097491e-51,4.9633430725897693e-48,0.8342272530993231,Phkg2
36234,Glutamatergic,84841,4.07707825886652e-23,4.925110536710756e-20,0.5945334760374243,Ap2a1
36304,Glutamatergic,85167,4.8647243459272256e-08,5.876587009880089e-05,0.27053913220301906,Snrnp70
36541,Glutamatergic,87539,1.0984715055139135e-22,1.3269535786608076e-19,-0.43210563273049996,Use1
36565,Glutamatergic,87616,1.9418664840246407e-125,2.345774712701766e-122,1.0771271903386417,Crtc1
36894,Glutamatergic,88952,3.9020222832299447e-75,4.713642918141773e-72,0.5258980560343209,Cdh11
37351,Glutamatergic,91028,7.818702417016323e-25,9.444992519755718e-22,0.6624333277426775,Kxd1
38143,Glutamatergic,95306,9.493251243234458e-55,1.1467847501827226e-51,0.981328204937725,Snap91
38418,Glutamatergic,96387,0.0,2.2250738585072014e-308,3.3146377258399147,Dpy19l1
38706,Glutamatergic,98988,2.4140553849931002e-08,2.916178905071665e-05,0.31532051730153343,Tenm1
38719,Glutamatergic,99015,6.791692887772137e-33,8.204365008428741e-30,0.7424966345622583,Lamp2
38858,Glutamatergic,99511,3.52765290331747e-95,4.261404707207504e-92,1.4208755364855867,Porcn
39179,Glutamatergic,100869,1.6869404819689926e-58,2.037824102218543e-55,0.9174646977102974,Il1rapl1
41870,Low Quality,13428,2.4663438724578174e-06,0.002663651382254443,2.3019979008467164,Osbp2
