"","x"
"LS-15532_S04_E1-50",45
"LS-15532_S06_E1-50",35
"LS-15532_S07_E1-50",34
"LS-15532_S08_E1-50",15
"LS-15532_S41_E1-50",37
"LS-15532_S42_E1-50",37
"LS-15532_S43_E1-50",37
"LS-15532_S44_E1-50",35
"LS-15532_S45_E1-50",37
"LS-15532_S46_E1-50",37
"LS-15532_S47_E1-50",23
"LS-15532_S48_E1-50",37
"LS-15532_S49_E1-50",37
"LS-15532_S50_E1-50",37
"LS-15532_S51_E1-50",45
"LS-15532_S52_E1-50",37
"LS-15532_S53_E1-50",35
"LS-15532_S54_E1-50",37
"LS-15532_S55_E1-50",45
"LS-15532_S56_E1-50",45
"LS-15532_S57_E1-50",37
"LS-15532_S58_E1-50",37
"LS-15532_S59_E1-50",35
"LS-15532_S60_E1-50",35
"LS-15532_S61_E1-50",35
"LS-15532_S62_E1-50",35
"LS-15532_S63_E1-50",19
"LS-15532_S64_E1-50",37
"LS-15533_S01_E12-50",34
"LS-15533_S02_E12-50",34
"LS-15533_S03_E12-50",37
"LS-15533_S04_E12-50",37
"LS-15533_S05_E12-50",37
"LS-15533_S07_E12-50",34
"LS-15533_S08_E12-50",45
"LS-15533_S09_E12-50",35
"LS-15533_S10_E12-50",33
"LS-15533_S11_E12-50",33
"LS-15533_S12_E12-50",37
"LS-15533_S13_E12-50",35
"LS-15533_S14_E12-50",37
"LS-15533_S15_E12-50",45
"LS-15533_S16_E12-50",35
"LS-15533_S17_E12-50",4
"LS-15533_S18_E12-50",4
"LS-15533_S19_E12-50",3
"LS-15533_S20_E12-50",15
"LS-15533_S21_E12-50",17
"LS-15533_S22_E12-50",29
"LS-15533_S23_E12-50",3
"LS-15533_S24_E12-50",11
"LS-15533_S25_E12-50",14
"LS-15533_S26_E12-50",21
"LS-15533_S27_E12-50",9
"LS-15533_S28_E12-50",9
"LS-15533_S29_E12-50",4
"LS-15533_S30_E12-50",14
"LS-15533_S31_E12-50",9
"LS-15533_S32_E12-50",29
"LS-15533_S33_E12-50",22
"LS-15533_S34_E12-50",7
"LS-15533_S35_E12-50",24
"LS-15533_S36_E12-50",19
"LS-15533_S37_E12-50",15
"LS-15533_S38_E12-50",11
"LS-15533_S39_E12-50",21
