,index,name,p_raw,p_corr,es,index_name
469502,L6b,Phactr1-214_ENSMUST00000149235,1.0278012362988591e-14,5.421651521476482e-11,0.28967120250126666,L6b_Phactr1
446501,L6b,Fus-201_ENSMUST00000077609,1.0290850889673345e-09,5.42842384430269e-06,0.2902598348730052,L6b_Fus
282461,L6 IT,Tango2-202_ENSMUST00000125287,4.491340409523946e-08,0.0002547488280281982,0.29061061657093834,L6 IT_Tango2
62662,L2/3 IT,Zfp973-203_ENSMUST00000141122,2.4435153065034807e-14,1.5245091997275217e-10,0.29061921251620904,L2/3 IT_Zfp973
334532,L6 IT,Snrpa-203_ENSMUST00000126211,4.917141176956626e-08,0.0002789002475569798,0.29077168362247674,L6 IT_Snrpa
193723,L5/6 NP,Chn1-203_ENSMUST00000112024,3.233265246123393e-08,0.00013421284036658205,0.29088864932283154,L5/6 NP_Chn1
193724,L5/6 NP,Chn1-210_ENSMUST00000180045,3.233265246123393e-08,0.00013421284036658205,0.29088864932283154,L5/6 NP_Chn1
300472,L6 IT,Snx5-201_ENSMUST00000028909,1.3812953110122858e-06,0.007834707004061685,0.2918552849643894,L6 IT_Snx5
472525,L6b,Mrps9-201_ENSMUST00000057208,3.452532514837613e-08,0.0001821210901576841,0.2933603371850908,L6b_Mrps9
147800,L5/6 NP,Sumo3-202_ENSMUST00000099538,8.960345732927322e-09,3.7194395137381314e-05,0.2939626640659858,L5/6 NP_Sumo3
330801,L6 IT,Cyhr1-209_ENSMUST00000231152,5.464207345605466e-07,0.0030992984064274203,0.29463440974233324,L6 IT_Cyhr1
281480,L6 IT,Prpf31-205_ENSMUST00000143231,4.460412717659059e-07,0.0025299460934562184,0.29472329937450725,L6 IT_Prpf31
442976,L6b,Ociad1-204_ENSMUST00000200935,2.1117837088090234e-08,0.00011139659063967598,0.2948903582555511,L6b_Ociad1
181153,L5/6 NP,Higd1a-205_ENSMUST00000215007,1.1263458775839677e-10,4.6754617378510495e-07,0.29532126757171895,L5/6 NP_Higd1a
