,index,transcript_name,p_raw,p_bonferroni
418,L5 PT,Snrpn-202_ENSMUST00000098402,5.69617426225762e-13,1.9700788303444204e-08
419,L5 PT,Ralgapa2-202_ENSMUST00000109986,9.950666846136656e-13,3.441537635404824e-08
420,L5 PT,Sema6d-208_ENSMUST00000103241,1.5113835221796906e-09,5.227271049810678e-05
421,L5 PT,Bcl11b-201_ENSMUST00000066060,2.451844418207765e-09,8.479949104813377e-05
422,L5 PT,Gm13306-202_ENSMUST00000108018,4.620806373144181e-09,0.00015981520922156463
423,L5 PT,Cast-207_ENSMUST00000222588,2.037815354778934e-08,0.0007047988186038421
424,L5 PT,Paqr7-202_ENSMUST00000095074,2.0853931331053067e-08,0.0007212540690158014
425,L5 PT,Ccdc74a-201_ENSMUST00000056962,4.818783542013594e-08,0.0016666244758408214
426,L5 PT,Tnfrsf12a-201_ENSMUST00000024698,2.2069677758196396e-07,0.007633018749449805
427,L5 PT,Sv2c-201_ENSMUST00000161263,2.342331077676784e-07,0.008101186265252925
428,L5 PT,Cox6c-205_ENSMUST00000156915,2.7950908590025765e-07,0.00966710124494631
429,L5/6 NP,Unc5c-208_ENSMUST00000200114,7.972544087761426e-54,2.757384098193167e-49
430,L5/6 NP,Snhg11-201_ENSMUST00000109488,9.515223829801088e-29,3.2909353137750043e-24
431,L5/6 NP,Chn1-210_ENSMUST00000180045,1.843442377514483e-22,6.375729806871591e-18
432,L5/6 NP,Chn1-203_ENSMUST00000112024,1.843442377514483e-22,6.375729806871591e-18
433,L5/6 NP,Chn1-209_ENSMUST00000166199,5.087247582727494e-18,1.7594754489621312e-13
434,L5/6 NP,Atg16l1-204_ENSMUST00000127884,1.3945279289886213e-17,4.823114295200046e-13
435,L5/6 NP,Pigp-207_ENSMUST00000146924,5.6666215217504716e-15,1.9598577195126182e-10
436,L5/6 NP,Snf8-204_ENSMUST00000150946,4.81690487116771e-13,1.6659747187420645e-08
437,L5/6 NP,Krit1-210_ENSMUST00000200004,4.326592724404901e-12,1.496395359662679e-07
438,L5/6 NP,Rrm1-204_ENSMUST00000210751,2.2062051107474828e-11,7.630380996031244e-07
439,L5/6 NP,Tmem205-204_ENSMUST00000215650,4.17998452899765e-11,1.4456894491991272e-06
440,L5/6 NP,Tnks2-206_ENSMUST00000168654,5.0531337348870734e-11,1.7476768335480432e-06
441,L5/6 NP,Coa4-203_ENSMUST00000208772,1.2955394851530101e-10,4.480752863350201e-06
442,L5/6 NP,Nasp-205_ENSMUST00000134038,1.4816615194075323e-10,5.124474531022891e-06
443,L5/6 NP,Mrps16-201_ENSMUST00000061444,1.7210016294238483e-10,5.952256235525322e-06
444,L5/6 NP,H2afv-202_ENSMUST00000109737,2.012266065668814e-10,6.959623414722161e-06
445,L5/6 NP,Snap47-202_ENSMUST00000120940,2.320986835841268e-10,8.02736507044061e-06
446,L5/6 NP,Vamp3-203_ENSMUST00000155446,5.900375828301863e-10,2.0407039839764825e-05
447,L5/6 NP,Nol7-201_ENSMUST00000071926,1.000242555470913e-09,3.4594389023517e-05
448,L5/6 NP,Prune2-201_ENSMUST00000087689,1.854524151384794e-09,6.414057229979449e-05
449,L5/6 NP,Gsk3b-201_ENSMUST00000023507,3.061009196737028e-09,0.00010586806407834686
450,L5/6 NP,Sept3-201_ENSMUST00000023095,3.162659664850632e-09,0.00010938374716852396
451,L5/6 NP,Dtnbp1-201_ENSMUST00000072329,3.4991677305786617e-09,0.0001210222151297936
452,L5/6 NP,Trim37-201_ENSMUST00000041282,3.6798737568575647e-09,0.00012727211375467573
453,L5/6 NP,Ppp4r2-205_ENSMUST00000204001,4.610214351102969e-09,0.0001594488735472473
454,L5/6 NP,St3gal5-201_ENSMUST00000069994,5.155544803364052e-09,0.0001783096725691491
455,L5/6 NP,Cox5a-202_ENSMUST00000213678,1.297811665833737e-08,0.0004488611427452563
456,L5/6 NP,Selenof-201_ENSMUST00000082437,1.535136343756295e-08,0.0005309422558515521
457,L5/6 NP,Dusp26-203_ENSMUST00000161713,1.654199572291393e-08,0.0005721214640727011
458,L5/6 NP,Cct8-201_ENSMUST00000026704,2.3847587240560272e-08,0.0008247926523020176
459,L5/6 NP,Trpm2-207_ENSMUST00000153842,2.5102560396454077e-08,0.0008681971538717607
460,L5/6 NP,Sumo3-202_ENSMUST00000099538,2.5478920501317837e-08,0.0008812139444585787
461,L5/6 NP,Scaf11-203_ENSMUST00000227133,2.729194033940824e-08,0.0009439190485787734
462,L5/6 NP,Dnajc12-201_ENSMUST00000043317,2.8539471622428635e-08,0.0009870661655333169
463,L5/6 NP,Adgra1-201_ENSMUST00000026548,3.1178742946618215e-08,0.0010783480035517375
464,L5/6 NP,Npm1-202_ENSMUST00000093201,6.967449165988034e-08,0.0024097619685486214
465,L5/6 NP,Alkbh6-201_ENSMUST00000060834,7.448670791273891e-08,0.002576197279869988
466,L5/6 NP,Sncb-201_ENSMUST00000036825,8.407407547503362e-08,0.002907785974379513
467,L5/6 NP,Ddx58-208_ENSMUST00000140616,9.759545648510979e-08,0.003375436457994007
468,L5/6 NP,Dtymk-201_ENSMUST00000027503,1.4252681125032298e-07,0.004929432293903671
469,L5/6 NP,Srsf5-205_ENSMUST00000110356,1.790776343659359e-07,0.006193579062180259
